objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,and-no-signs-of-spring.jpg,,,And no signs of a Spring thaw,"Doyle, Jerry",circa 1960-1975,Editorial cartoon from the Cold War Era,universities;buildings;campuses;picture postcards,,,,"Pennsylvania State University. Special Collections Library, https://digital.libraries.psu.edu/digital/collection/jdp/id/481",,Image;StillImage,image/jpeg,eng,Public domain,https://rightsstatements.org/page/UND/1.0/?language=en
coll002,no-draft.jpg,,,No Draft,Bradford Lyttle,circa 1960-1975,A poster protesting the Vietnam War and the draft.,Vietnam War,,,,"National Museum of American History, https://collections.si.edu/search/detail/edanmdm:nmah_1916641?q=record_ID%3Dnmah_1916641&record=1&hlterm=record_ID%3Dnmah_1916641",,Image;StillImage,image/jpeg,eng,© 2023 Smithsonian,
coll003,1962-still-life.png,,,Still Life #12,Tom Wesselmann,1962,Tom Wesselmann’s 1962 collage Still Life (#12),Pop Art,,,,"Digital Public Library of America, https://dp.la/primary-source-sets/pop-art-in-the-us/sources/1494",,Image;StillImage,image/jpeg,eng,"© 1962, Tom Wesselmann","All other Content is subject to usage conditions due to copyright and/or other restrictions and may only be used for personal, educational, and other non-commercial uses consistent with the principles of fair use under Section 108 of the U.S. Copyright Act."
coll004,1963-june-moon.png,,,June Moon,Allan D'Arcangelo,1963,"Allan D’Arcangelo’s 1963 work, June Moon",Pop Art,,,,"Digital Public Library of America, https://dp.la/primary-source-sets/pop-art-in-the-us/sources/1498",,Image;StillImage,image/jpeg,eng,© 2023 Smithsonian American Art Museum,
coll005,berlin-wall.jpg,,,Berlin Wall ,"Leonelli, Elisa",1983,The Wall.,"Berlin Wall, Berlin, Germany, 1961-1989",Berlin (Germany),,,"Claremont Colleges Library. Special Collections, https://ccdl.claremont.edu/digital/collection/p15831coll13/id/3884",,Image;StillImage,image/jpeg,eng,"© Elisa Leonelli, 1983","Unauthorized reproduction prohibited. For permission, email leonelli@earthlink.net"
coll006,brookings-register-newspaper.jpg,,,Brookings Reigster Newspaper,,1963-11-22,Brookings Register front page reporting the President Kennedy assassination.,"Newspapers,Kennedy, John F. (John Fitzgerald), 1917-1963, Assasination",Brookings (South Dakota),,,"DLSD, https://explore.digitalsd.org/digital/collection/Norby/id/1478",,Image;StillImage,image/jpeg,eng,In Copyright: This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,https://rightsstatements.org/page/InC/1.0/?language=en
coll007,moon-landing.jpg,,,Moon Landing,,3/5/1968,"Photograph printed from the original nagative taken by ""Buzz"" Aldrin on the 1st moon landing in 1969. 8"" X 10"" color photograph was from Steve Tuosto when he was in the air force.",,Brookings (South Dakota),,,Oklahoma Historical Society Photograph Collection,,Image;StillImage,image/jpeg,eng,"At this time, no copyright or licensing has been determined.",https://rightsstatements.org/page/InC/1.0/?language=en
coll008,ruscha-new-painting.png,,,New Painting,Ed Ruscha,circa 1960,"Painting done by Ed Ruscha for the Pasadena Museum of Art's 1962 exhibition ""New Painting of Common Objects""",Pop Art,,,,"Digital Public Library of America, https://dp.la/primary-source-sets/pop-art-in-the-us/sources/1489",,Image;StillImage,image/jpeg,eng,,
coll009,a-stonewall-glbt-button.png,,,A Stonewall GLBT Button,,,"This button commemorates the Stonewall riots and features a powerful image of two fists, recalling similar imagery used by civil rights activists in the African American community. The text surrounding the image reads ""STONEWALL MEANS FIGHT BACK! SMASH LESBIAN & GAY OPPRESSION.” ",LGBTQ+ Social Justice Movement,,,,"Minnesota Historical Society via Minnesota Digital Library, https://dp.la/primary-source-sets/stonewall-and-its-impact-on-the-gay-liberation-movement/sources/1416",,Image;StillImage,image/jpeg,eng,,
coll010,gay-liberation-front.png,,,Gay Liberation Front,Diana Davies,1969,"A photograph of the Gay Liberation Front picketing Time, Inc., in 1969.",LGBTQ+ Social Justice Movement,,,,"The New York Public Library, https://dp.la/primary-source-sets/stonewall-and-its-impact-on-the-gay-liberation-movement/sources/1410",,Image;StillImage,image/jpeg,eng,Photo by Diana Davies,This item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).
coll011,sappho-was-a-right-on-woman.png,,,Sappho Was a Right On Woman,,1972,A photograph of Gay Liberation Front members at a demonstration with a poster saying “Sappho was a right-on woman.”,LGBTQ+ Social Justice Movement,,,,"University of Washington, https://dp.la/primary-source-sets/stonewall-and-its-impact-on-the-gay-liberation-movement/sources/1412",,Image;StillImage,image/jpeg,eng,,
coll012,stonewall-inn.png,,,Stonewall Inn,,1969,"A photograph of the window of the Stonewall Inn in New York City, 1969.",LGBTQ+ Social Justice Movement,,,,"The New York Public Library, https://dp.la/primary-source-sets/stonewall-and-its-impact-on-the-gay-liberation-movement/sources/1409",,Image;StillImage,image/jpeg,eng,Photo by Diana Davies,This item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).
coll013,warhol-i-love-you.png,,,Marilyn Monroe I Love Your Kiss Forever Forever,Andy Warhol,1964,"Andy Warhol’s 1964 lithograph, Marilyn Monroe I Love Your Kiss Forever Forever, from 1¢ Life",Pop Art,,,,The Museum of Modern Art (MoMA) via Metropolitan New York Library Council and Empire State Digital Network,,Image;StillImage,image/jpeg,eng,,
coll014,nuclear-energy-for-our-children.png,,,Nuclear power for our children,Mark Evanoff,1978,A photograph of sign that supports the Diablo Canyon Nuclear Power Plant.,nuclear power; nuclear power plant; public protest; photographs ,San Luis Obispo County (California),,,"Kennedy Library Online Archive, https://digital.lib.calpoly.edu/204spc000052 ",,Image;StillImage,image/jpeg,eng,,http://lib.calpoly.edu/support/policies/sca-policies/copyright-guidelines/#online-copyright
coll015,nixon-and-agnew.jpg,,,Richard Nixon and Spiro Agnew,Unidentified Artist,1970,"A satirical drawing of Richard Nixon and Spiro Agnew riding motorcycles, Nixon states: we blew it.","Nixon, Richard; Agnew, Spiro; US politics; US government; US presidents; posters; satirical",,,,"Smithsonian Institution, https://collections.si.edu/search/results.htm?q=record_ID=npg_S_NPG.2006.37&repo=DPLA ",,Image;StillImage,image/jpeg,eng,"© 1970 by Celestial Arts, Usage conditions apply.",
coll016,woman-at-civil-rights-demonstration.jpg,,,Woman at a civil rights demonstration,Declan Haun,1961,"A photograph of a woman during a civil rights demonstration in Monroe, North Carolina, 1961. She is holding a sign that states: No man should be too white or too rich to pay for his crimes.","Haun, Delcan; Civil Rights Movement; public protest; protest signs; photographs",Monroe (North Carolina),,,"Chicago History Museum, https://collections.carli.illinois.edu/digital/collection/chm_pp/id/375",,Image;StillImage,image/jpeg,eng,No known copyright restrictions.,
coll017,fred-hampton.png,,,"Fred Hampton, 1948-1969, When One of Us Falls, 1000 Will Take His Place",Unidentified Artist,circa 1960,"A commemorative poster of Fred Hampton, the deputy chair of the Black Panther Party, the image depicts several of his statements.","Hampton, Fred; 1948-1969; activist; Civil Rights Movement",,,,"Smithsonian Institution, https://collections.si.edu/search/results.htm?q=record_ID=npg_NPG.2015.112&repo=DPLA",,Image;StillImage,image/jpeg,eng,Usage conditions apply.,
coll018,Alice's Restaurant.jpg,,,Alice's Restaurant,Arlo Guthrie,1969,Color photolithographic poster for Arlo Guthrie's album Alice's Restaurant, folk;singer;musicians;performing arts; poster;,"New York City , NY",,,"Smithsonian Institution,https://collections.si.edu/search/results.htm?q=record_ID=npg_S_NPG.2009.92&repo=DPLA ",,Image;StillImage,image/jpeg,eng,"National Portrait Gallery, Smithsonian Institution; gift of Chisholm Larsson Gallery, New York City",https://www.si.edu/termsofuse
coll019,Hell no! We won't go!.jpg,,,Hell no! We won't go!,,1967,"Poster that features Civil Rights leader Stokely Carmichael rising his fist in a Black Power Salute with text reading HELL NO! WE WON'T GO, referencing a speech Camichael gave in Tougaloo, Mississippi opposing the Vietnam War. ","Carmichael, Stokley;protest posters; Vietnam War, 1961-1975; protest movements;",,,,"Pennsylvania State University, https://digital.libraries.psu.edu/digital/collection/blackhistory/id/25 ",,Image;StillImage,image/jpeg,eng,Copryright Undetermined,https://rightsstatements.org/page/UND/1.0/?language=en
coll020,MFDP Political Posters.jpg,,,MFDP Political Posters,,1964,"Campaign posters for two Mississippi Freedom Democratic Party(MFDP) candidates, Aaron Henry and Fannie Lou Hamer","Mississippi Freedom Democratic Party;women;Hamer, Fannie Lou;Henry, Aaron, 1922-1997",Mississippi,,,"Wisconson Historical Society Freedom Summer Digital Collection, https://content.wisconsinhistory.org/digital/collection/p15932coll2/id/22669 ",,Image;StillImage,image/jpeg,eng,,"Copyright to these documents belongs to the individuals who created them or the organizations for which they worked. The principal organizations have been defunct for many years and copyright to their unpublished records is uncertain. We share them here strictly for non-profit educational purposes. We have attempted to contact individuals who created personal papers of significant length or importance. Nearly all have generously permitted us to include their work. If you believe that you possess copyright to material included here, please contact us at asklibrary@wisconsinhistory.org. Under the fair use provisions of the U.S. copyright law, teachers and students are free to reproduce any document for nonprofit classroom use. Commercial use of copyright-protected material is generally prohibited."
coll021,"Martin Luther King, Jr.jpg",,,"Martin Luther King, Jr.",,1968,"Poster of Martin Luther King Jr. using art from Ben Shahn and Stefan Martin, and featuring a passage from Martin Luther King Jr.'s speech ""I've Been to the Mountaintop""","poster; Martin Luther King, Jr.",,,,"Smithsonian Institution, https://collections.si.edu/search/detail/edanmdm:npg_NPG.99.18?q=record_ID%3Dnpg_NPG.99.18&record=1&hlterm=record_ID%3Dnpg_NPG.99.18&inline=true",,image;StillImage,image/jpeg,eng,"Estate of Stefan Martin / Artists Rights Society (ARS), New York",https://www.si.edu/termsofuse
